,PoleName,SLat,SLon,PLat,PLon,A95,N,PolarityZone,PmagRef,AgeNominal,AgeLower,AgeUpper,gaussian_2sigma,,Q
Abitibi,Abitibi,,,48.8,215.5,14.1,7,,"Ernst and Buchan, 1993",1141,1139,1143,2,gaussian,
Osler_R1,Osler reverse (lower),48.8,272.34,40.9,218.6,4.8,30,Alona Bay reversed polarity zone,"Swanson-Hysell et al., 2014b",1107.5,1105.15,1110,,uniform,6
Osler_R2,Osler reverse (upper),48.59,271.81,42.5,201.6,3.7,59,Alona Bay reversed polarity zone,"Halls, 1974; Swanson-Hysell et al., 2014b",1105.15,1104.82,1105.48,0.33,gaussian,7
Osler_N,Osler normal (upper),48.64,271.91,34.4,176.5,33.7,2,Portage Lake normal-polarity zone,"Halls, 1974",1096,1090,1102,,uniform,
MP_lowerR1,Mamainse lower reversed 1,47.09,275.28,49.5,227,5.3,24,Alona Bay reversed polarity zone,"Swanson-Hysell, 2014a",1109,1106,1112,,uniform,
MP_lowerR2,Mamainse lower reversed 2,0,0,37.5,205.2,4.5,14,Alona Bay reversed polarity zone,"Swanson-Hysell, 2014a",1105,1102,1108,,uniform,
MP_lowerNupperR,Mamainse lower normal and upper reversed,0,0,36.1,189.7,4.9,24,Flour Bay normal and reversed polarity zones,"Swanson-Hysell, 2014a",1100.36,1100.1,1100.61,0.25,gaussian,
MP_upperN,Mamainse upper normal,0,0,31.2,183.2,2.5,34,Portage Lake normal polarity zone,"Swanson-Hysell, 2014a",1095,1092,1098,,uniform,
Grand Portage Basalts,Grand Portage Basalts,0,0,46.6,201.5,6.8,13,Alona Bay reversed polarity zone,"Books, 1968; Tauxe and Kodama, 2009",1106,1105.28,1108,,uniform,
NSVG_nswu,North Shore Volcanic Group (upper SW sequence),0,0,35.8,182.1,3.1,47,Portage Lake normal polarity zone,Tauxe and Kodama (2009),1095.01,1094.2,1095.82,0.8,uniform,
PLV,Portage Lake Volcanics,0,0,25.6,185.9,2.9,51,Portage Lake normal polarity zone,"Books 1972; Hnat et al., 2006",1092.5,1091.67,1093.36,,uniform,
SLB,Schroeder Lutsen Basalts,0,0,27.1,187.8,3,50,Portage Lake normal polarity zone,Tauxe and Kodama (2009)  Fairchild et al. (2016),1090,1085,1091.5,,uniform,
LST,Lake Shore Traps,0,0,23.1,186.4,4,31,Portage Lake normal polarity zone,Diehl et al. (1994)  Kulakov et al. (2013),1085.47,1084,1091,,uniform,
MI,Michipicoten Island Formation,0,0,17,174.7,4.4,23,Portage Lake normal polarity zone,Palmer and Davis (1987)  Fairchild et al. (2016),1083.9,1083.5,1084.39,0.4,gaussian,
,Freda,,,2.2,179,4.207136794,20,Portage Lake normal polarity zone,"Henry et al., 1977",1080,1070,1085.47,,uniform,
,Haliburton,,,-32.6,141.9,6.287288764,17,,"Warnock et al., 2000",1015,1000,1030,,uniform,
